make,model,version,fuel,year,kms,power,shift,price,currency,location,latitude,longitude
Opel,Crossland X,1.2 81kW (110CV) Edition S/S,Gasolina,2019,13300.0,110.0,manual,14990,EUR,Valencia,39.4697065,-0.3763353
Opel,Crossland X,1.2 81kW (110CV) Design Line S/S,Gasolina,2019,71267.0,110.0,manual,14490,EUR,Murcia,37.9923795,-1.1305431
Opel,Crossland X,1.2T 96kW (130CV) Selective S/S,Gasolina,2018,28790.0,130.0,manual,14890,EUR,Granada,37.1734995,-3.5995337
Opel,Crossland X,1.2 81kW (110CV) Edition,Gasolina,2020,34500.0,110.0,manual,16490,EUR,Granada,37.1734995,-3.5995337
Opel,Crossland X,1.2 81kW (110CV) Edition S/S,Gasolina,2019,73656.0,110.0,manual,14990,EUR,Bilbao,43.2630018,-2.9350039
Opel,Antara,2.0 16v CDTi 150 Cosmo 5p,Diésel,2007,280000.0,150.0,manual,4200,EUR,Alcañiz,41.050254,-0.1329565
Opel,Antara,2.2 CDTi 163cv Excellence 5p S/S,Diésel,2012,80400.0,163.0,manual,10500,EUR,Alcorcón,40.3492998,-3.8284295
Opel,Antara,2.0 CDTi 16v 150 Cosmo Plus 5p Aut.,Diésel,2008,110000.0,150.0,automatic,9500,EUR,Albal,39.3956438,-0.4150821
Opel,Antara,2.2 CDTI 184CV Start&Stop Excellence 4X4,Diésel,2013,134515.0,184.0,manual,10900,EUR,Granollers,41.6079555,2.2876008
Opel,Antara,2.2 CDTi 163 Selective 4x2 5p S/S,Diésel,2013,110000.0,163.0,manual,12500,EUR,Alcorcón,40.3492998,-3.8284295
Opel,Antara,2.0 16v CDTi 150 Cosmo 5p,Diésel,2008,207885.0,150.0,manual,7499,EUR,Albal,39.3956438,-0.4150821
Opel,Antara,Selective,Diésel,2015,92853.0,163.0,manual,12474,EUR,Valencia,39.4697065,-0.3763353
Opel,Corsa-e,50kWh Elegance-e,Eléctrico,2020,33949.0,136.0,automatic,23990,EUR,Madrid,40.4167047,-3.7035825
Opel,Corsa-e,Edition-e 100 kW (136 CV),Eléctrico,2022,2170.0,136.0,automatic,27900,EUR,Hidraulica Santillana,,
Opel,Corsa-e,Selective ecoFlex,Gasolina,2019,71135.0,90.0,manual,9990,EUR,Sevilla,37.3886303,-5.9953403
Tesla,Model 3,Gran Autonomía 4WD 366 kW (498 CV),Eléctrico,2022,26283.0,498.0,automatic,52325,EUR,Torremolinos,36.6242841,-4.4995448
Tesla,Model 3,Estándar Plus RWD 225 kW (306 CV),Eléctrico,2019,45906.0,306.0,automatic,41900,EUR,Vigo,42.2376602,-8.7247205
Tesla,Model 3,Estándar Plus RWD (Shanghai Build),Eléctrico,2020,58229.0,306.0,automatic,37490,EUR,Granada,37.1734995,-3.5995337
Opel,KARL,1.0 Selective,Gasolina,2016,67033.0,75.0,manual,8990,EUR,Almería,36.8414197,-2.4628135
Opel,Zafira Tourer,2.0 CDTi 165 Excellence 5p 7plz Aut.,Diésel,2014,229123.0,165.0,automatic,11500,EUR,Alcalá de Henares,40.4818396,-3.3644973
Opel,Zafira Tourer,2.0 CDTI Selective,Diésel,2012,73481.0,130.0,manual,11199,EUR,Madrid,40.4167047,-3.7035825
Opel,Zafira Tourer,1.4 T S/S 103kW (140CV) Family,Gasolina,2018,84756.0,140.0,manual,14990,EUR,Murcia,37.9923795,-1.1305431
Opel,Zafira Tourer,1.6 CDTI Excellence,Diésel,2016,135779.0,135.0,manual,12199,EUR,Barcelona,41.3828939,2.1774322
Opel,Zafira Tourer,1.6 CDTi SANDS Excellence 100 kW (136 CV),Diésel,2016,112456.0,136.0,manual,15238,EUR,Mercado Parque Corredor del Henares,40.351358000000005,-3.8181138934596097
Opel,Zafira Tourer,1.6 CDTi S/S 99kW (134CV) Excellence 17,Diésel,2017,104139.0,134.0,manual,16990,EUR,Murcia,37.9923795,-1.1305431
Opel,Mokka,1.4 Turbo SANDS Excellence 4x2 103 kW (140 CV),Gasolina,2016,38144.0,140.0,manual,15295,EUR,Valdepeñas,38.7594573,-3.3847392
Opel,Mokka,1.2 T 96kW (130 CV) GS Line,Gasolina,2022,7950.0,130.0,manual,20990,EUR,Almería,36.8414197,-2.4628135
Opel,Mokka,1.4 140 Excellence 4x2 5p S/S,Gasolina,2015,98000.0,140.0,manual,12990,EUR,Sant Antoni de Vilamajor,41.6735604,2.4012202
Opel,Mokka,1.4T 140 Excellence 4x2 5p S/S,Gasolina,2015,100000.0,140.0,manual,11300,EUR,Madrid,40.4167047,-3.7035825
Opel,Mokka,1.4 Turbo SANDS Excellence 4x2 103 kW (140 CV),Gasolina,2016,41332.0,140.0,manual,15180,EUR,Mercado Parque Corredor del Henares,40.351358000000005,-3.8181138934596097
Opel,Corsa,1.2 XEL Edition 55 kW (75 CV),Gasolina,2021,27570.0,75.0,manual,14490,EUR,Collado Villalba,40.6431496,-3.9930128
Opel,Corsa,1.2 XEL Edition 55 kW (75 CV),Gasolina,2021,21437.0,75.0,manual,14605,EUR,Murcia,37.9923795,-1.1305431
Opel,Corsa,1.2 XEL Edition 55 kW (75 CV),Gasolina,2021,30157.0,75.0,manual,14375,EUR,Alcobendas,40.5400082,-3.6358494
Opel,Corsa,1.2 XEL Edition 55 kW (75 CV),Gasolina,2021,27112.0,75.0,manual,14547,EUR,Alzira,36.7753606,3.0601882
Opel,Corsa,1.4 90cv Selective,Gasolina,2015,86000.0,90.0,manual,9390,EUR,Móstoles,40.3238525,-3.8649214
Opel,Corsa,1.4 Expression,Gasolina,2015,35173.0,90.0,manual,9299,EUR,Madrid,40.4167047,-3.7035825
Opel,Corsa,1.2T 100 GS Line 5p S/S,Gasolina,2021,32000.0,102.0,manual,17400,EUR,Tarrega,41.6472761,1.1409115
Opel,Corsa,1.2 75 Elegance 5p S/S,Diésel,2020,96564.0,75.0,manual,13999,EUR,Málaga,36.7213028,-4.4216366
Opel,Combo Life,Opel Combo Life1.5 Innovation 131 2021  ,Diésel,2021,67400.0,131.0,manual,24400,EUR,Antequera,37.0183652,-4.5596649
Opel,Combo Life,L Innovation 1.5 TD 130cv 6 vel. *43.000 km* *2020* *Garantía oficial Opel* *365€/mes*,Diésel,2020,40000.0,130.0,manual,23990,EUR,Madrid,40.4167047,-3.7035825
Opel,Combo Life,1.5 INNOVATION 131,Diésel,2021,67403.0,131.0,manual,23400,EUR,Algete,40.5961652,-3.4974246
Opel,Combo Life,Innovation,Diésel,2020,48279.0,131.0,manual,22190,EUR,Sant Boi de Llobregat,41.3459033,2.0413673
Opel,Combo Life,1.5TD Expression L,Diésel,2019,77000.0,75.0,manual,17995,EUR,San Fernando de Henares,40.4248548,-3.5350369
Opel,Combo Life,1.5 TD SANDS Innovation XL 96 kW (131 CV),Diésel,2020,14508.0,131.0,manual,27600,EUR,Colonia Pablo Iglesias,,
Opel,Combo Life,1.5TD S/S Selective,Diésel,2018,31000.0,100.0,manual,18995,EUR,San Fernando de Henares,40.4248548,-3.5350369
Opel,Combo Life,1.5 TD 100 Selective L 5p S/S,Diésel,2019,124962.0,102.0,manual,17900,EUR,Alcover,41.2629186,1.1702772
Opel,Combo Life,Edition 1.5 100CV,Diésel,2021,28231.0,100.0,manual,22900,EUR,Fortiñon,43.3597873,-8.2822312
Opel,Combo Life,1.5 TD SANDS Innovation L Auto 96 kW (131 CV),Diésel,2020,71137.0,131.0,automatic,25700,EUR,Santa Maria del Aguila,36.780645,-2.7736816
Opel,Combo Life,1.5 TD 75kW 100CV S/S Edition Plus XL 7 PLAZAS,Diésel,2021,76128.0,100.0,manual,24000,EUR,Pontevedra,42.6075172,-8.4714942
Opel,Combo Life,1.5 TD 75kW 100CV S/S Edition Plus XL 7 PLAZAS,Diésel,2021,78587.0,100.0,manual,24000,EUR,Pontevedra,42.6075172,-8.4714942
Opel,Combo Life,1.5 TD 75kW 100CV S/S Edition Plus XL 7 PLAZAS,Diésel,2021,81313.0,100.0,manual,23700,EUR,Pontevedra,42.6075172,-8.4714942
Opel,Combo Life,1.5 TD 75kW 100CV S/S Edition Plus XL 7 PLAZAS,Diésel,2021,71359.0,100.0,manual,24200,EUR,Pontevedra,42.6075172,-8.4714942
Opel,Combo Life,1.5 TD 75kW 100CV S/S Edition Plus XL 7 PLAZAS,Diésel,2021,71340.0,100.0,manual,24200,EUR,Molino de La Hoz,40.538567099999995,-3.934225785450224
Opel,Ampera,Ampera e,Eléctrico,2017,50000.0,150.0,automatic,25990,EUR,Torredonjimeno,37.7610096,-3.9511024
Opel,Ampera,GRANDLAND ANIVERSARIO,Gasolina,2020,19431.0,130.0,manual,17990,EUR,Barrio Peral,-33.0396093,-71.6294479
Rover,45,1.6 109 Comfort 4p,Gasolina,2003,113500.0,109.0,manual,1590,EUR,Novelda,38.3842144,-0.7674146
Rover,45,1.6 109 Comfort 4p,Gasolina,2002,36000.0,109.0,manual,1990,EUR,Vitoria-Gasteiz,42.8465088,-2.6724025
SsangYong,Kyron,200 Xdi 141 Limited 5p Aut.,Diésel,2006,110000.0,141.0,automatic,6990,EUR,Catarroja,39.4033747,-0.4028759
SsangYong,Kyron,2.0 CRDI,Diésel,2006,153566.0,140.0,manual,6950,EUR,Alicante/Alacant,38.3436365,-0.4881708
SsangYong,Kyron,270 Xdi Limited 4WD,Diésel,2007,112000.0,163.0,manual,8520,EUR,Valencia,39.4697065,-0.3763353
Opel,Zafira,1.9 CDTi 120 CV Cosmo,Diésel,2008,194900.0,120.0,manual,4590,EUR,Club Encinas,40.623231,-3.5898679
Opel,Zafira,1.9 CDTi 16v 150 Cosmo 5p,Diésel,2006,213700.0,150.0,manual,3900,EUR,Palamós,41.8495354,3.1278785
Opel,Zafira,Tourer 1.6 CDTi SS 100kW 136CV Selective,Diésel,2016,139000.0,136.0,manual,13500,EUR,Molino de La Hoz,40.538567099999995,-3.934225785450224
SsangYong,XLV,D16T Premium 85 kW (115 CV),Diésel,2017,91888.0,115.0,manual,15353,EUR,Ciudad Real,38.959734749999996,-3.8828744402485436
SsangYong,XLV,G16 Line,Gasolina,2016,83900.0,128.0,manual,11990,EUR,Granada,37.1734995,-3.5995337
Opel,Insignia,Grand Sport 1.6 CDTi ecoTEC D 110 Selective 5p E6.2 S/S,Diésel,2018,138000.0,110.0,manual,15900,EUR,Cádiz,36.5297438,-6.2928976
Opel,Insignia,Grand Sport 2.0 CDTi Turbo D 170 Excellence 5p E6.1 S/S,Diésel,2017,183000.0,170.0,automatic,10999,EUR,Alcobendas,40.5400082,-3.6358494
Opel,Insignia,1.6CDTI Start&Stop ecoFLEX 136 Selective,Diésel,2016,118273.0,136.0,manual,13690,EUR,Leganés,40.3281942,-3.76527
Opel,Insignia,ST 1.6 CDTI 100 KW ECOTEC D EXCELLENCE,Diésel,2018,138000.0,136.0,manual,14490,EUR,Alcorcón,40.3492998,-3.8284295
Opel,Insignia,2.0 CDTI 130 CV Edition Auto,Diésel,2009,230000.0,130.0,automatic,5990,EUR,Club Encinas,40.623231,-3.5898679
Opel,Insignia,Grand Sport 1.6 CDTi Turbo D 136 Excellence 5p E6.1 S/S,Diésel,2018,112000.0,136.0,manual,14450,EUR,Barcelona,41.3828939,2.1774322
Opel,Insignia,1.6 CDTI Start&Stop ecoFLEX 136 Business,Diésel,2017,113630.0,136.0,manual,11390,EUR,Pamplona/Iruña,42.8182536,-1.6440304
Opel,Insignia,1.6 CDTI 100KW ECOFLEX EXCELLENCE S/S,Diésel,2017,138000.0,136.0,manual,11990,EUR,Leganés,40.3281942,-3.76527
Opel,Insignia,GS 1.6 CDTi 100kW Turbo D Selective,Diésel,2018,122661.0,136.0,manual,15995,EUR,Mairena del Aljarafe,37.3444908,-6.0606771
Opel,Insignia,1.6 CDTi 120 ecoFlex Expression 4p S/S,Diésel,2016,146260.0,120.0,manual,8999,EUR,Montilla,37.5811178,-4.6414726
Opel,Insignia,2.0 CDTi 140 ecoFlex Selective 4p S/S,Diésel,2015,118000.0,140.0,manual,10990,EUR,Sevilla,37.3886303,-5.9953403
SsangYong,Tivoli,D16 Premium,Diésel,2019,37160.0,136.0,manual,14990,EUR,Huelva,37.2575874,-6.9484945
SsangYong,Tivoli,1.2 G12T 128 Urban Plus 5p S/S,Gasolina,2022,3000.0,128.0,manual,19990,EUR,Zaragoza,41.6521342,-0.8809428
SsangYong,Tivoli,1.6 Premium 4x2,Gasolina,2017,24870.0,128.0,manual,15499,EUR,Barcelona,41.3828939,2.1774322
SsangYong,Tivoli,D16 Urban,Diésel,2019,49100.0,115.0,manual,16699,EUR,Madrid,40.4167047,-3.7035825
SsangYong,Tivoli,1.6 Line 4x2,Gasolina,2021,6660.0,128.0,manual,19299,EUR,Madrid,40.4167047,-3.7035825
SsangYong,Tivoli,D16T Limited 4x2,Diésel,2019,25000.0,115.0,manual,17995,EUR,Parets del Vallès,41.5729887,2.2329289
SsangYong,Tivoli,G16 Limited 4x2,Gasolina,2018,7198.0,128.0,manual,14990,EUR,Castellón,40.25185675,-0.06150521083301791
SsangYong,Tivoli,1.2 G12T Urban 94 kW (128 CV),Gasolina,2020,30512.0,128.0,manual,18000,EUR,Getafe,40.3081807,-3.7302679
SsangYong,Tivoli,1.6 Turbodiesel Limited Auto 4x2,Diésel,2017,86383.0,115.0,automatic,14499,EUR,Madrid,40.4167047,-3.7035825
SsangYong,Tivoli,D16 Premium,Diésel,2019,37656.0,136.0,manual,15990,EUR,Camarma de Esteruelas,40.5490368,-3.3786211
SsangYong,Tivoli,1.6 G16 128 Limited 5p,Gasolina,2019,37900.0,128.0,manual,18490,EUR,Elx/Elche,38.2653307,-0.6988391
SsangYong,Tivoli,D16T Limited Auto 4x2 85 kW (115 CV),Diésel,2018,84122.0,115.0,automatic,17020,EUR,Murcia,37.9923795,-1.1305431
SsangYong,Korando,D20T 175cv Limited Auto 4x4,Diésel,2014,114000.0,175.0,automatic,10990,EUR,Almería,36.8414197,-2.4628135
SsangYong,Korando,2.2 TD Premium 4x2,Diésel,2015,112539.0,178.0,manual,13299,EUR,Madrid,40.4167047,-3.7035825
SsangYong,Korando,D20T 149cv Limited 4x2,Diésel,2015,143978.0,150.0,manual,11099,EUR,Barcelona,41.3828939,2.1774322
SsangYong,Korando,2.0 Sport 4x2,Gasolina,2014,84431.0,150.0,manual,10799,EUR,Madrid,40.4167047,-3.7035825
SsangYong,Korando,1.5 Line 4x2,Gasolina,2020,35986.0,163.0,manual,19499,EUR,Madrid,40.4167047,-3.7035825
SsangYong,Korando,D20T 149cv Premium 4x2,Diésel,2014,62134.0,149.0,manual,11990,EUR,Granada,37.1734995,-3.5995337
SsangYong,Korando,D20T 175cv Limited Auto 4x2,Diésel,2014,70734.0,175.0,automatic,10990,EUR,Bilbao,43.2630018,-2.9350039
SsangYong,Korando,2.0 D20T 149 Limited 4x2 5p,Diésel,2014,109.0,149.0,manual,12800,EUR,Aspe,38.3459902,-0.7692125
SsangYong,Korando,D20T Premium Auto 4x2 129 kW (175 CV),Diésel,2014,81440.0,175.0,automatic,13530,EUR,Olèrdola,41.321421650000005,1.7234463352877167
MINI,Paceman,Cooper D,Diésel,2013,131081.0,112.0,manual,13490,EUR,Sant Boi de Llobregat,41.3459033,2.0413673
MINI,Paceman,R61 Cooper S 2.0D 143 3p,Diésel,2013,164000.0,143.0,manual,12990,EUR,Santimami,43.2910534,-2.8927714
Tesla,Model X,100D 5p Aut.,Eléctrico,2017,85200.0,525.0,automatic,57890,EUR,Valencia,39.4697065,-0.3763353
Tesla,Model X,100d AWD 525cv,Eléctrico,2018,99996.0,525.0,automatic,67500,EUR,Barcelona,41.3828939,2.1774322
Tesla,Model X,75D 5p Aut.,Eléctrico,2019,79000.0,333.0,automatic,62990,EUR,Sabadell,41.5102802,2.112326355168393
Tesla,Model X,100D 4WD 386 kW (525 CV),Eléctrico,2017,119877.0,525.0,automatic,61263,EUR,Madrid,40.4167047,-3.7035825
Tesla,Model X,75D 5p Aut.,Eléctrico,2019,69000.0,333.0,automatic,57500,EUR,Alcalá de Henares,40.4818396,-3.3644973
Tesla,Model X,75D 5p Aut.,Eléctrico,2017,65000.0,333.0,automatic,57990,EUR,Madrid,40.4167047,-3.7035825
Tesla,Model Y,Gran autonomía 351 75kWh 5p Aut.,Eléctrico,2022,18000.0,351.0,automatic,61900,EUR,Alcalá de Henares,40.4818396,-3.3644973
Tesla,Model Y,Gran autonomía 351 75kWh 5p Aut.,Eléctrico,2021,33000.0,351.0,automatic,60000,EUR,Alcalá de Henares,40.4818396,-3.3644973
Nissan,Primastar,Combi6 1.9 dCi 100 CN 4p,Diésel,2005,340000.0,100.0,manual,6990,EUR,Olot,42.1822177,2.4890211
Nissan,Primastar,Furgón 27 1.9 dCi 82 CN 4p,Diésel,2004,200000.0,82.0,manual,6999,EUR,Sant Vicent del Raspeig,38.3964248,-0.5250339
Nissan,Primastar,2.5D 145cv,Diésel,2008,290000.0,145.0,manual,6997,EUR,Santa Perpètua de Mogoda,41.5328106,2.1823309
Nissan,Primastar,Avantour7 1.9 dCi 100 CN 4p,Diésel,2005,433.0,100.0,manual,7500,EUR,Kukullaga,43.2510643,-2.8896799
KIA,Soul,1.6 CRDi VGT 128 Diva 5p,Diésel,2009,187000.0,128.0,manual,5290,EUR,Móstoles,40.3238525,-3.8649214
KIA,Ceed,pro_cee'd 1.6 CVVT 126 Eco-Dynamics Active 3p MY11,Diésel,2011,150000.0,126.0,manual,4999,EUR,San Martin,44.8186266,8.1091847
KIA,Ceed,1.4 CVVT 100 Drive 5p,Gasolina,2014,45303.0,100.0,manual,10900,EUR,El Aeroport del Prat,41.3184957,2.076948
KIA,Ceed,SW 1.6 CRDi 128 Eco-Dynamics Active 5p MY11,Diésel,2010,212000.0,128.0,manual,4900,EUR,La Borbolla,43.3914245,-6.0797631
KIA,Ceed,1.0 T-GDi 100 Drive 5p ISG,Gasolina,2022,19000.0,100.0,manual,8000,EUR,Villena,38.6360967,-0.8659745
KIA,Ceed,1.6 CRDi Tech 100 kW (136 CV),Diésel,2020,67122.0,136.0,manual,21950,EUR,Puerto de Sagunto,39.6699383,-0.22537531804548736
KIA,Ceed,1.6 CRDi VGT 115 Drive 5p ISG,Diésel,2019,60802.0,115.0,manual,17500,EUR,Antequera,37.0183652,-4.5596649
KIA,Ceed,1.4 T-GDi Tech 103 kW (140 CV),Gasolina,2020,26221.0,140.0,manual,21735,EUR,Granollers,41.6079555,2.2876008
KIA,Carens,2.0 CRDi 16v VGT 140 Active 5p,Diésel,2008,240000.0,140.0,manual,3490,EUR,Móstoles,40.3238525,-3.8649214
KIA,Carens,1.7 CRDi VGT 85kW UEFA Euro2016 Eco-Dyn,Diésel,2016,108901.0,115.0,manual,11990,EUR,Almería,36.8414197,-2.4628135
KIA,Carens,1.7 CRDi VGT DCT Drive 104 kW (141 CV),Diésel,2017,60892.0,141.0,automatic,20125,EUR,Saladar,39.2071096,-0.2870103
KIA,Carens,"1.7 CRDi VGT 116CV Emotion Eco-D 7pl 16"" - 5 P (2016)",Diésel,2016,85000.0,141.0,manual,11990,EUR,Málaga,36.7213028,-4.4216366
KIA,Carens,1.7 CRDi VGT 85kW (115CV) Drive Eco-Dyn,Diésel,2018,103310.0,115.0,manual,14390,EUR,Málaga,36.7213028,-4.4216366
KIA,Sorento,2.5 CRDi 170 Emotion 5p Aut.,Diésel,2007,175000.0,170.0,automatic,6990,EUR,Granollers,41.6079555,2.2876008
KIA,Sorento,2.2 CRDi Concept 4x2 147 kW (200 CV),Diésel,2016,62972.0,200.0,manual,24400,EUR,Saladar,39.2071096,-0.2870103
KIA,Stonic,1.0 T-GDi 100 Black Edition Eco-Dynamics 5p ISG,Gasolina,2020,6000.0,100.0,manual,17900,EUR,Arroyo de La Miel,36.1288814,-5.4705718
KIA,Stonic,1.0 T-GDi 120 Drive Eco-Dynamics 5p ISG DCT,Gasolina,2018,65000.0,120.0,manual,17500,EUR,Gavarres,41.9911397,2.9074286
KIA,Stonic,1.0 T-GDi 88kW (120CV) Drive Eco-Dynam,Gasolina,2018,49650.0,120.0,manual,13990,EUR,Òrrius,41.5551821,2.3549387
KIA,Stonic,1.2 CVVT 62kW (84CV) Drive Eco-Dynamics,Gasolina,2017,62361.0,84.0,manual,13990,EUR,Madrid,40.4167047,-3.7035825
KIA,Stonic,1.0 T-GDi 88kW (120CV) MHEV iMT Drive,Diésel,2022,5990.0,120.0,manual,20750,EUR,Sant Boi de Llobregat,41.3459033,2.0413673
KIA,Stonic,1.0 T-GDi 74kW (100CV) MHEV iMT Drive,Diésel,2021,56809.0,100.0,manual,18990,EUR,Sant Boi de Llobregat,41.3459033,2.0413673
KIA,Stonic,1.2 DPi Concept 62 kW (84 CV),Gasolina,2021,50085.0,84.0,manual,15900,EUR,A Coruña,43.3709703,-8.3959425
KIA,Stonic,MHEV 1.0 T-GDi 100 Concept 5p ISG,Gasolina,2021,34573.0,100.0,manual,15990,EUR,Rafelbuñol/Rafelbunyol,39.5879683,-0.3308699
KIA,Stonic,MHEV 1.0 T-GDi 100 Drive 5p ISG,Gasolina,2022,10892.0,100.0,manual,19450,EUR,El Aeroport del Prat,41.3184957,2.076948
